Metric,hjson-cpp,json.cpp,jvar,tinyxml2,jsonxx,RSJp-cpp,Jzon,TinyEXIF,bitmap,indicators,polypartition,Overall
Avg Runtime / Method (ConReflect),52.07,26.94,52.07,25.55,22.14,27.52,15.76,37.35,32.72,15.03,40.70,30.67
Avg Tokens / Method (ConReflect),"18,310.42","9,218.43","18,527.82","16,442.94","6,727.90","12,880.80","7,608.07","11,447.50","16,066.22","9,520.89","23,710.32","13,850.32"
Avg Runtime / Method (CoverUp),33.21,18.38,18.11,17.14,8.85,14.38,35.11,11.16,7.53,11.01,20.63,16.59
Avg Tokens / Method (CoverUp),"9,799.76","4,391.75","4,254.70","7,675.50","3,814.46","6,007.54","4,994.53","4,954.95","3,339.43","7,066.52","11,771.32","5,923.33"
Avg Runtime / Method (GPT-4.1-Nano),4.39,2.72,3.90,3.16,3.00,2.82,2.63,3.80,4.39,3.21,4.37,3.54
Avg Tokens / Method (GPT-4.1-Nano),"1,751.96",883.61,952.00,941.57,891.25,865.40,777.21,"1,018.71","1,116.70",973.24,"1,605.05","1,041.93"
Avg Runtime / Method (DeepSeek-V3.2),34.35,16.74,21.78,25.40,26.10,15.04,16.91,27.97,19.35,16.97,34.05,22.49
Avg Tokens / Method (DeepSeek-V3.2),"1,491.07",956.71,"1,043.88","1,010.63","1,054.25",927.94,764.04,"1,344.00","1,089.08",973.45,"1,758.16","1,077.49"
Avg Runtime / Method (Haiku-4.5),6.76,5.02,5.52,5.92,6.05,5.64,5.15,6.50,6.70,5.22,5.77,5.90
Avg Tokens / Method (Haiku-4.5),"1,642.84","1,282.18","1,357.45","1,512.19","1,529.46","1,401.09","1,255.63","1,663.89","1,661.67","1,315.64","2,033.16","1,489.04"
